Compound_CID,Compound,Formula,Molecular_Weight,CAS No.,External Link to ChEMBL,Source_Chemical,Source_Chemical_URL
12311356,"(7aR)-6-hydroxy-4,4,7a-trimethyl-6,7-dihydro-5H-1-benzofuran-2-one",,196.11,,,(-)-Loliolide,https://bidd.group/NPASS/compound.php?compoundID=NPC110373
12313395,"(1R,2S,5S,6R,8R,11S)-5-[(dimethylamino)methyl]-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",,293.2,,,NPC161576,https://bidd.group/NPASS/compound.php?compoundID=NPC161576
12410,Hentriacontane,,436.5,,,Hentriacontane,https://bidd.group/NPASS/compound.php?compoundID=NPC26229
12566215,Methyl 3-Carboxy-2Carboxymethyl-2-Hydroxypropanoate,C7H10O7,206.1501,26163-65-5,CHEMBL235362,3-Hydroxy-3-Methoxycarbonylpentanedioic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC65985
1268142,Nootkatone,,218.17,,,Nootkatone,https://bidd.group/NPASS/compound.php?compoundID=NPC127582
127377,"5,6-Epoxy-1-hydroxy-6-isopropyl-3,11-dimethyl-3-azatricyclo(6.2.1.04(5,11))undecan-2-one",,293.16,,,NPC74576,https://bidd.group/NPASS/compound.php?compoundID=NPC74576
132525205,"7-Hydroxy-9,10-dihydrophenanthrene-1,4-dione",C₁₄H₁₀O₃,226.06299418,,,"7-Hydroxy-9,10-dihydrophenanthrene-1,4-dione",https://www.wikidata.org/wiki/Q115970791
132525207,"(3S)-4-hydroxy-2'-methoxyspiro[1,2-dihydroindene-3,6'-cyclohex-2-ene]-1',4'-dione",C₁₅H₁₄O₄,258.089208928,,,(+)-Denobilone A,https://www.wikidata.org/wiki/Q115971959
132525208,"(3R)-4-hydroxy-2'-methoxyspiro[1,2-dihydroindene-3,6'-cyclohex-2-ene]-1',4'-dione",,258.09,,,NPC479223,https://bidd.group/NPASS/compound.php?compoundID=NPC479223
132525209,"(4aR,10aR)-4a,5-dihydroxy-4-methoxy-1,9,10,10a-tetrahydrophenanthren-2-one",,260.1,,,NPC479224,https://bidd.group/NPASS/compound.php?compoundID=NPC479224
132525210,"(4aR,10aS)-4a,5-dihydroxy-4-methoxy-10,10a-dihydro-1H-phenanthrene-2,9-dione",C₁₅H₁₄O₅,274.084123548,,,Denobilone C,https://www.wikidata.org/wiki/Q115971686
134141097,"9-(2,5-Dihydroxy-7-methoxy-9,10-dihydrophenanthren-3-yl)-5,7-dimethoxyphenanthrene-4,10-diol",,510.17,,,NPC479228,https://bidd.group/NPASS/compound.php?compoundID=NPC479228
134145688,"10-(2,5-Dihydroxy-7-methoxy-9,10-dihydrophenanthren-3-yl)-4-methoxyphenanthrene-2,5-diol",C₃₀H₂₄O₆,480.157288488,,,"10-(2,5-Dihydroxy-7-methoxy-9,10-dihydrophenanthren-3-yl)-4-methoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q115970945
134154603,"7-Methoxyphenanthrene-2,4,5-triol",,256.07,,,NPC479227,https://bidd.group/NPASS/compound.php?compoundID=NPC479227
134156048,"8-(4,7-Dihydroxy-5-methoxyphenanthren-1-yl)-5,7-dimethoxyphenanthrene-4,10-diol",C₃₁H₂₄O₇,508.152203108,,,"8-(4,7-Dihydroxy-5-methoxyphenanthren-1-yl)-5,7-dimethoxyphenanthrene-4,10-diol",https://www.wikidata.org/wiki/Q115971537
135520438,"6,7-Dihydroxy-2-methoxy-1,4-phenanthrenedione",,270.05,,,NPC264022,https://bidd.group/NPASS/compound.php?compoundID=NPC264022
14188392,"1,2,5-Trihydroxy-7-methoxyfluoren-9-one",C14H10O5,258.05282343,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00038966
14353469,Crepidatin,C18H22O5,318.14672381,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00015551
14484686,"7-Methoxyphenanthrene-2,5-diol",C₁₅H₁₂O₃,240.078644244,,,"7-Methoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q105256326
146166008,"methyl 2-[(1S,3R,4S,7S,8R,11R,12R,13S)-2,12-dimethyl-9-oxo-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-3-yl]acetate",,335.21,,,NPC225781,https://bidd.group/NPASS/compound.php?compoundID=NPC225781
14777891,Flavanthridin,C₁₆H₁₆O₄,272.104858992,,,Flavanthridin,https://www.wikidata.org/wiki/Q103815918
14777892,Flavanthrinin,C15H12O3,240.25397,130827-45-1,CHEMBL447210,Flavanthrinin,https://bidd.group/NPASS/compound.php?compoundID=NPC53781
15060023,Ephemeranthol A,C16H14O4,270.27996,,,NPC171261,https://bidd.group/NPASS/compound.php?compoundID=NPC171261
15287267,"(1S,4S,7S,8R,11S,12R,13S)-12-methyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",C₁₅H₂₃NO₂,249.172878976,,,Mubironine B,https://www.wikidata.org/wiki/Q105147955
154496027,"(1R,2R,5R,6S,9S,15R,16R)-16-hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",,307.18,,,NPC292237,https://bidd.group/NPASS/compound.php?compoundID=NPC292237
154496059,"(1R,2R,5S,6R,9S,15S,16S)-6-hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",C₁₇H₂₅NO₄,307.17835828,,,"(1R,2R,5S,6R,9S,15S,16S)-6-hydroxy-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",https://www.wikidata.org/wiki/Q105307500
154496459,"(1R,2R,5S,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",C₁₇H₂₅NO₃,291.18344366,,,"(1R,2R,5S,6S,9S,15R,16S)-15-methyl-16-propan-2-yl-3,14-dioxa-11-azapentacyclo[7.5.1.12,5.01,11.06,15]hexadecan-4-one",https://www.wikidata.org/wiki/Q104953190
154497096,"(1S,2S,6S,8S,11S)-6-methyl-5-methylidene-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",C₁₅H₂₀O₃,248.1412445,,,"(1S,2S,6S,8S,11S)-6-methyl-5-methylidene-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",https://www.wikidata.org/wiki/Q104911288
15558887,"(1S,4S,7R,8S,11R,12R,13S)-7-hydroxy-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",,680.2,,,NPC297948,https://bidd.group/NPASS/compound.php?compoundID=NPC297948
15558892,(-)-Dendrobin,,263.19,,,NPC212832,https://bidd.group/NPASS/compound.php?compoundID=NPC212832
15736297,Tristin,C₁₅H₁₆O₄,260.104858992,,,Tristin,https://www.wikidata.org/wiki/Q105144149
158975,Erianthridin,C16H14O4,270.27996,86630-46-8,CHEMBL253983,Nudol,https://bidd.group/NPASS/compound.php?compoundID=NPC230919
16104870,Nobilin D,,320.13,,,nobilin D,https://bidd.group/NPASS/compound.php?compoundID=NPC476968
16104871,Nobilone,C14H10O4,242.05790881,,,,http://www.knapsackfamily.com/knapsack_core/info.php?sname=C_ID&word=C00039862
16104872,Nobilin E,C₃₂H₃₂O₈,544.209717984,,,nobilin E,https://www.wikidata.org/wiki/Q115970416
161547331,"(1S,2S,5R,6R,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",C₂₁H₃₄O₁₀,446.215197288,,,"(1S,2S,5R,6R,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105308790
162837356,"(3R,4aS,5R)-4a,5-dimethyl-7-methylidene-3-prop-1-en-2-yl-1,2,3,4,5,6-hexahydronaphthalene",,622.48,,,NPC119969,https://bidd.group/NPASS/compound.php?compoundID=NPC119969
162842541,"2-[2-hydroxy-6-methoxy-4-[(3R,4R)-4-(3-methoxyphenyl)dioxetan-3-yl]phenyl]-3-methoxy-5-[2-(3-methoxyphenyl)ethyl]phenol",,544.21,,,NPC289185,https://bidd.group/NPASS/compound.php?compoundID=NPC289185
162870395,"(9S)-4,6-dimethoxy-8-[2-(3-methoxyphenyl)ethyl]-9-[(3-methoxyphenyl)methyl]-9H-xanthene-2,3,5-triol",C₃₂H₃₂O₈,544.209717984,,,"(9S)-4,6-dimethoxy-8-[2-(3-methoxyphenyl)ethyl]-9-[(3-methoxyphenyl)methyl]-9H-xanthene-2,3,5-triol",https://www.wikidata.org/wiki/Q104981417
162870439,"(1S,3R,4R,7S,8S,11S,12S,13S)-3,4-dihydroxy-13-[(2R)-1-hydroxypropan-2-yl]-12-methyl-2,10-dioxatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",C₁₅H₂₂O₆,298.141638424,,,"(1S,3R,4R,7S,8S,11S,12S,13S)-3,4-dihydroxy-13-[(2R)-1-hydroxypropan-2-yl]-12-methyl-2,10-dioxatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",https://www.wikidata.org/wiki/Q105118547
162878780,"(2R,3R,4S,5S,6R)-2-[[(4R,4aR)-6-methyl-4-[(2S)-1-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl]-2,3,4,4a,7,8-hexahydronaphthalen-1-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,560.28,,,NPC112778,https://bidd.group/NPASS/compound.php?compoundID=NPC112778
162916341,"4-[(1S)-1-hydroxy-2-(4-hydroxy-3-methoxyphenyl)ethyl]-2,6-dimethoxyphenol",C₁₇H₂₀O₆,320.12598836,,,"4-[(1S)-1-hydroxy-2-(4-hydroxy-3-methoxyphenyl)ethyl]-2,6-dimethoxyphenol",https://www.wikidata.org/wiki/Q105250300
162918547,"2-[4-[(3S,4S)-4-(hydroxymethyl)dioxetan-3-yl]-2,6-dimethoxyphenyl]-3-methoxy-5-[2-(3-methoxyphenyl)ethyl]phenol",C₂₇H₃₀O₈,482.19406792,,,"2-[4-[(3S,4S)-4-(hydroxymethyl)dioxetan-3-yl]-2,6-dimethoxyphenyl]-3-methoxy-5-[2-(3-methoxyphenyl)ethyl]phenol",https://www.wikidata.org/wiki/Q105034187
162925874,"(4aS,10aR)-5-hydroxy-3,7-dimethoxy-4a,10a-dihydrophenanthrene-1,4-dione",,286.08,,,NPC280766,https://bidd.group/NPASS/compound.php?compoundID=NPC280766
162946198,"(2S,3S,4R,5R,6S)-2-[[(1R,3aR,4R,5R,7aS)-1-hydroxy-1-(hydroxymethyl)-7a-methyl-5-propan-2-yl-3,3a,4,5,6,7-hexahydro-2H-inden-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",,418.26,,,NPC161037,https://bidd.group/NPASS/compound.php?compoundID=NPC161037
162946199,"(2S,3R,4R,5R,6S)-2-[[(1R,3aR,4R,5R,7aS)-1-hydroxy-1-(hydroxymethyl)-7a-methyl-5-propan-2-yl-3,3a,4,5,6,7-hexahydro-2H-inden-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",C₂₁H₃₈O₈,418.256668176,,,"(2S,3R,4R,5R,6S)-2-[[(1R,3aR,4R,5R,7aS)-1-hydroxy-1-(hydroxymethyl)-7a-methyl-5-propan-2-yl-3,3a,4,5,6,7-hexahydro-2H-inden-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://www.wikidata.org/wiki/Q105184955
