Compound_CID,Compound,Source_Chemical,Source_Chemical_URL,Molecular_Weight,Formula
10993984,"(1S,2R,5S,6S,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one","(1S,2R,5S,6S,7R,8R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",https://www.wikidata.org/wiki/Q105308793,446.215197288,C₂₁H₃₄O₁₀
11005030,"(1S,2R,5S,6S,7R,8S,11R)-11-(2-hydroxypropan-2-yl)-6-methyl-10-oxo-7-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9-oxatricyclo[6.2.1.02,6]undecane-5-carboxylic acid",NPC197754,https://bidd.group/NPASS/compound.php?compoundID=NPC197754,460.19,
11015758,"(1S,2R,5S,6S,7R,8S,11R)-7-hydroxy-11-(2-hydroxypropan-2-yl)-6-methyl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",NPC258360,https://bidd.group/NPASS/compound.php?compoundID=NPC258360,446.22,
11064768,"(1R,2S,6R,8R,11S)-6-methyl-5-methylidene-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",NPC60762,https://bidd.group/NPASS/compound.php?compoundID=NPC60762,248.14,
11076000,"(1R,1aR,4S,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol","(1R,1aR,4S,4aS,7R,7aS,7bS)-1,4-bis(hydroxymethyl)-1,7-dimethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol",https://www.wikidata.org/wiki/Q105328874,254.188194692,C₁₅H₂₆O₃
11291989,"3-(5,6-Dimethoxy-1-benzofuran-2-yl)-6,7-dimethoxychromen-2-one",NPC141631,https://bidd.group/NPASS/compound.php?compoundID=NPC141631,344.15,
11390848,"4-Methoxy-9,10-Dihydrophenanthrene-2,7-Diol","4-Methoxy-9,10-Dihydrophenanthrene-2,7-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC228503,242.09,
11437978,"2,3,4,7-Tetramethoxyphenanthrene","2,3,4,7-Tetramethoxyphenanthrene",https://bidd.group/NPASS/compound.php?compoundID=NPC149337,298.12,
11477116,"1-(4,7-Dihydroxy-5-methoxyphenanthren-1-yl)-4-methoxyphenanthrene-2,5-diol",Denthyrsinol,https://www.wikidata.org/wiki/Q104976186,478.141638424,C₃₀H₂₂O₆
11506999,"2-Methoxy-9,10-dihydrophenanthrene-4,5-diol","2-Methoxy-9,10-Dihydrophenanthrene-4,5-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC278955,242.09,
11604108,(-)-Syringaresinol,(-)-Syringaresinol,https://bidd.group/NPASS/compound.php?compoundID=NPC34103,418.16,
11732737,"(1S,2R,5S,6S,7R,8S,11R)-7-hydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",NPC284607,https://bidd.group/NPASS/compound.php?compoundID=NPC284607,430.22,
11742643,"(2R,3R,4S,5S,6R)-2-[[(1S,1aR,3aR,4S,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,3a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC142047,https://bidd.group/NPASS/compound.php?compoundID=NPC142047,416.24,
11761556,Dendronobiloside B,NPC277772,https://bidd.group/NPASS/compound.php?compoundID=NPC277772,418.26,
11812311,Dendromoniliside C,NPC191705,https://bidd.group/NPASS/compound.php?compoundID=NPC191705,444.2,
11964533,Dendrochrysanene,NPC186268,https://bidd.group/NPASS/compound.php?compoundID=NPC186268,508.12,
11972333,"(1S,4S,7S,8R,11R,13S)-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",NPC143159,https://bidd.group/NPASS/compound.php?compoundID=NPC143159,263.19,
11983285,"1,5,6-Trimethoxyphenanthrene-2,7-diol",NPC239996,https://bidd.group/NPASS/compound.php?compoundID=NPC239996,300.1,
12311356,"(7aR)-6-hydroxy-4,4,7a-trimethyl-6,7-dihydro-5H-1-benzofuran-2-one",(-)-Loliolide,https://bidd.group/NPASS/compound.php?compoundID=NPC110373,196.11,
12313395,"(1R,2S,5S,6R,8R,11S)-5-[(dimethylamino)methyl]-6-methyl-11-propan-2-yl-9-oxatricyclo[6.2.1.02,6]undecane-7,10-dione",NPC161576,https://bidd.group/NPASS/compound.php?compoundID=NPC161576,293.2,
12566215,3-Hydroxy-3-(methoxycarbonyl)pentanedioic acid,3-Hydroxy-3-Methoxycarbonylpentanedioic Acid,https://bidd.group/NPASS/compound.php?compoundID=NPC65985,206.04,
14484686,"7-Methoxyphenanthrene-2,5-diol","7-Methoxyphenanthrene-2,5-diol",https://www.wikidata.org/wiki/Q105256326,240.078644244,C₁₅H₁₂O₃
14777891,Flavanthridin,Flavanthridin,https://www.wikidata.org/wiki/Q103815918,272.104858992,C₁₆H₁₆O₄
14777892,Flavanthrinin,Flavanthrinin,https://bidd.group/NPASS/compound.php?compoundID=NPC53781,240.08,
15060023,"4,7-Dihydroxy-2,3-dimethoxy phenanthrene",NPC171261,https://bidd.group/NPASS/compound.php?compoundID=NPC171261,270.09,
15287267,"(1S,4S,7S,8R,11S,12R,13S)-12-methyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",Mubironine B,https://www.wikidata.org/wiki/Q105147955,249.172878976,C₁₅H₂₃NO₂
15558887,"(1S,4S,7R,8S,11R,12R,13S)-7-hydroxy-2,12-dimethyl-13-propan-2-yl-10-oxa-2-azatetracyclo[5.4.1.18,11.04,12]tridecan-9-one",NPC297948,https://bidd.group/NPASS/compound.php?compoundID=NPC297948,680.2,
15558892,(-)-Dendrobin,NPC212832,https://bidd.group/NPASS/compound.php?compoundID=NPC212832,263.19,
15736297,Tristin,Tristin,https://www.wikidata.org/wiki/Q105144149,260.104858992,C₁₅H₁₆O₄
16104870,Nobilin D,nobilin D,https://bidd.group/NPASS/compound.php?compoundID=NPC476968,320.13,
16104872,Nobilin E,nobilin E,https://www.wikidata.org/wiki/Q115970416,544.209717984,C₃₂H₃₂O₈
21574990,"3,3',5-Trihydroxybibenzyl","3,3',5-Trihydroxybibenzyl",https://www.wikidata.org/wiki/Q27159943,230.094,C₁₄H₁₄O₃
21668724,2-(3-Hydroxy-4-methoxyphenyl)ethyl 3-O-(6-deoxyhexopyranosyl)hexopyranoside,Darendoside A,https://bidd.group/NPASS/compound.php?compoundID=NPC35731,476.19,
21678577,"2,4,7-Trihydroxy-9,10-dihydrophenanthrene",NPC142588,https://bidd.group/NPASS/compound.php?compoundID=NPC142588,228.08,
23304338,"(2R,3R,4R,5R,6R)-2-[[(1S,1aR,3aR,4S,7R,7aS,7bS)-4-hydroxy-1-(hydroxymethyl)-1,7-dimethyl-2,3,3a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[a]naphthalen-4-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NPC169439,https://bidd.group/NPASS/compound.php?compoundID=NPC169439,416.24,
23304340,"(2R,5S,6S,7R,11S)-7,11-dihydroxy-6-methyl-11-propan-2-yl-5-[[(2R,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-9-oxatricyclo[6.2.1.02,6]undecan-10-one",NPC275003,https://bidd.group/NPASS/compound.php?compoundID=NPC275003,446.22,
23900101,Fimbriol B,Fimbriol B,https://bidd.group/NPASS/compound.php?compoundID=NPC151656,256.07,
24762423,"2,8-Dihydroxy-3,4,7-trimethoxyphenanthrene","2,5,6-Trimethoxyphenanthrene-1,7-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC275061,568.29,
24762424,"3-Hydroxy-2,4,7-trimethoxy-9,10-dihydrophenanthrene","2,4,7-Trimethoxy-9,10-Dihydrophenanthren-3-Ol",https://bidd.group/NPASS/compound.php?compoundID=NPC158142,286.12,
24762425,"2,8-Dihydroxy-3,4,7-trimethoxy-9,10-dihydrophenanthrene","2,5,6-Trimethoxy-9,10-Dihydrophenanthrene-1,7-Diol",https://bidd.group/NPASS/compound.php?compoundID=NPC10314,302.12,
24762426,"2-Hydroxy-4,7-dimethoxy-9,10-dihydrophenanthrene",Coelonin,https://bidd.group/NPASS/compound.php?compoundID=NPC170485,256.11,
24762427,"1-(2-Hydroxy-3,4,7-trimethoxy-9,10-dihydrophenanthren-1-yl)-3,4,7-trimethoxy-9,10-dihydrophenanthren-2-ol","2,2'-Dihydroxy-3,3',4,4',7,7'-hexamethoxy-9,9',10,10'-tetrahydro-1,1'-biphenanthrene",https://www.wikidata.org/wiki/Q104981059,570.225368048,C₃₄H₃₄O₈
24762428,"4,9-Dimethoxyphenanthrene-2,3,5-Triol","4,9-Dimethoxyphenanthrene-2,3,5-Triol",https://bidd.group/NPASS/compound.php?compoundID=NPC105847,286.08,
